"loan_id","loan_status","num_borrowers","gender_ratio","borrower_picture","desc_language","sector","activity","loan_amount","funded_amount","basket_amount","paid_amount","currency_exchange_loss_amount","disbursal_currency","posted_date","funded_date","paid_date","planned_expiration_date","delinquent","video","country_code","journal_entries","bulk_entries","partner_id","partner_status","num_lenders","partner_rating","due_diligence_type","partner_start_date","delinquency_rate","default_rate","total_amount_raised","partner_loans_posted","lender_country_code","lender_occupation","lender_loan_count","lender_inviter","lender_invitee_count","lender_member_since","lender_teams_count"
116116,"paid",4,1,0,"en","Services","Services",850,850,0,850,0,"AFN",3469.29184,3472.671377,3757.345417,10000,FALSE,TRUE,"AF",1,0,34,"closed",26,0,"Full",2574.910868,0,6.830167882,1885250,2915,"BE","other",94105,FALSE,16,2578.897002,0
207593,"paid",1,1,0,"en","Education","Primary/secondary school costs",675,675,0,675,0,"UGX",3817.645868,3817.962813,3910.43603,10000,FALSE,TRUE,"UG",1,0,163,"active",26,3.5,"Full",3707.854317,6.399975644,1.393943978,3082050,4777,"FR","engineer",110,FALSE,8,3294.489039,2
139910,"paid",1,0,0,"en","Services","Auto Repair",700,700,0,700,0,"GHS",3556.715451,3556.826065,3790.352222,10000,FALSE,TRUE,"GH",1,0,88,"active",17,,"Basic",2867.586863,70.31581049,0,3895025,5623,"CA","music",179,FALSE,2,3078.753981,1
505044,"in_repayment",1,1,0,"es","Clothing","Clothing Sales",1500,1500,0,971.31,0,"USD",4724.64603,4742.922847,,4754.64603,FALSE,TRUE,"PE",0,0,119,"active",48,3.5,"Full",3165.028148,0.357257971,0.016690613,7779500,10159,"US","other",11270,FALSE,8,3933.910938,56
355764,"paid",4,0.75,0,"en","Agriculture","Livestock",1550,1550,0,1550,0,"KGS",4334.701563,4340.226829,4641.453264,10000,FALSE,TRUE,"KG",0,0,135,"closed",2,0,"Full",3453.145891,0,0,2155875,1939,"US","professor",104,FALSE,0,3552.772986,1
472893,"in_repayment",1,1,0,"en","Agriculture","Agriculture",375,375,0,250,0,"PHP",4646.631968,4646.769606,,4676.631968,FALSE,TRUE,"PH",0,0,136,"active",11,3,"Full",3427.597315,0,0,2553300,8909,"NL","market",37,FALSE,8,3624.52647,1
508325,"paid",1,1,0,"en","Food","Grocery Store",800,800,0,800,0,"GHS",4734.708345,4734.844896,4855.498866,4764.708345,FALSE,TRUE,"GH",1,0,91,"active",32,1,"Full",2896.42713,3.387885149,0.284991303,2994875,7580,"US","engineer",151,FALSE,4,2937.953241,0
148745,"paid",1,0,0,"en","Retail","Movie Tapes & DVDs",150,150,0,150,0,"KES",3590.014039,3590.333252,3757.390625,10000,FALSE,TRUE,"KE",4,0,133,"active",6,3,"Full",3436.482766,3.357199335,0.426269715,6195650,14242,"US","engineer",11685,FALSE,6,2924.70985,9
354290,"paid",1,1,0,"en","Retail","General Store",350,350,0,350,0,"PHP",4331.805938,4370.021215,4671.453241,10000,FALSE,TRUE,"PH",0,0,126,"active",9,3,"Full",3247.415266,0,0,3061775,9303,"US","other",11270,FALSE,8,3933.910938,56
390385,"paid",1,0,0,"en","Services","Cobbler",250,250,0,250,0,"KES",4423.902824,4429.054063,4672.393773,4453.902824,FALSE,TRUE,"KE",0,0,133,"active",10,3,"Full",3436.482766,3.357199335,0.426269715,6195650,14242,,"other",2481,FALSE,17,2805.994456,1
116353,"paid",1,1,0,"en","Food","Food Production/Sales",675,675,0,675,0,"GHS",3456.041725,3457.465764,3667.704757,10000,FALSE,TRUE,"GH",0,0,88,"active",21,,"Basic",2867.586863,70.31581049,0,3895025,5623,"DE","other",92,FALSE,1,3156.494248,0
461800,"paid",10,0.7,0,"en","Food","Grocery Store",4425,4425,0,4425,0,"TZS",4627.909745,4644.370509,4794.774294,4657.909745,FALSE,TRUE,"TZ",1,0,87,"active",50,3,"Full",2867.888935,0.87069238,0.103599804,5284850,1668,,"other",6,FALSE,0,3001.846968,0
90006,"paid",1,0,0,"en","Agriculture","Farming",275,275,0,275,0,"PHP",3352.937581,3353.555891,3483.825625,10000,FALSE,TRUE,"PH",2,0,125,"active",11,3.5,"Full",3245.674063,0,0.215195216,2180325,9507,"US","sing",4,FALSE,0,3353.143877,0
